iter	RMSE
0	16255.46114
1	16149.71726
2	16017.70237
3	15901.62196
4	15771.67919
5	15667.7579
6	15555.83325
7	15435.68314
8	15324.74287
9	15211.91848
10	15107.31633
11	14987.83131
12	14869.3786
13	14747.6392
14	14635.69054
15	14530.90267
16	14425.59264
17	14324.89748
18	14205.5927
19	14102.08885
20	14006.73731
21	13894.44015
22	13789.762
23	13681.15874
24	13578.65149
25	13496.51016
26	13385.12712
27	13297.23153
28	13198.28595
29	13111.30794
30	13007.1431
31	12919.11746
32	12830.19635
33	12734.47045
34	12644.76148
35	12555.64503
36	12462.25305
37	12373.23693
38	12281.02927
39	12193.18358
40	12120.34807
41	12024.25271
42	11943.88934
43	11849.27679
44	11759.25875
45	11661.7864
46	11587.00617
47	11506.86849
48	11416.07981
49	11323.17151
50	11249.08756
51	11167.9178
52	11082.5769
53	11002.94219
54	10924.77416
55	10845.45704
56	10762.38205
57	10677.7353
58	10598.27268
59	10519.70454
60	10434.7468
61	10364.83771
62	10282.95869
63	10207.42455
64	10142.04742
65	10078.13098
66	9994.722226
67	9918.698591
68	9856.496116
69	9790.664221
70	9715.774176
71	9644.240955
72	9576.08642
73	9504.51753
74	9430.003059
75	9375.314561
76	9310.736587
77	9243.230788
78	9181.799783
79	9116.998311
80	9049.373008
81	8986.035436
82	8923.822159
83	8861.053484
84	8798.559588
85	8741.879031
86	8681.989119
87	8610.425134
88	8550.204309
89	8491.278016
90	8432.905104
91	8381.328162
92	8327.777684
93	8273.707422
94	8219.508541
95	8164.500577
96	8105.385134
97	8060.848228
98	7998.815115
99	7946.626471
100	7886.657328
101	7838.456206
102	7780.421383
103	7729.920047
104	7681.553735
105	7635.179888
106	7582.587815
107	7529.746747
108	7469.906219
109	7419.154847
110	7374.82212
111	7328.188497
112	7284.428376
113	7232.487687
114	7177.702683
115	7122.787161
116	7067.176121
117	7018.440959
118	6968.022395
119	6913.386568
120	6857.795915
121	6817.877619
122	6769.135308
123	6715.466875
124	6675.50751
125	6627.740333
126	6583.494403
127	6533.398098
128	6484.718145
129	6437.343434
130	6389.764545
131	6348.740635
132	6299.750334
133	6254.653115
134	6207.685081
135	6165.849229
136	6124.323234
137	6081.739832
138	6041.153653
139	6007.96883
140	5965.177723
141	5930.058721
142	5885.480755
143	5852.119883
144	5810.06353
145	5766.727703
146	5730.288228
147	5700.870446
148	5664.151735
149	5626.298831
150	5584.665659
151	5545.811017
152	5514.891175
153	5475.544305
154	5437.297331
155	5401.808197
156	5362.703011
157	5324.420866
158	5289.270942
159	5250.261604
160	5213.510948
161	5176.696534
162	5140.583522
163	5106.347941
164	5066.974898
165	5032.871604
166	5007.996039
167	4978.442406
168	4948.792552
169	4916.481769
170	4879.852277
171	4846.068386
172	4814.288496
173	4785.063471
174	4751.19206
175	4717.529081
176	4685.440996
177	4652.381991
178	4626.131366
179	4596.647156
180	4566.995474
181	4544.407929
182	4516.577192
183	4487.761276
184	4459.930394
185	4428.583542
186	4401.366202
187	4375.079856
188	4347.912449
189	4320.115818
190	4292.274053
191	4266.078072
192	4239.505
193	4217.789994
194	4189.188123
195	4160.011471
196	4136.686664
197	4108.879878
198	4085.385707
199	4062.402497
200	4040.1147
201	4014.419558
202	3991.249673
203	3967.267449
204	3938.977751
205	3913.557232
206	3889.837831
207	3866.741136
208	3842.40556
209	3818.587789
210	3801.362167
211	3776.801863
212	3756.820344
213	3729.423549
214	3708.257296
215	3685.834781
216	3662.234161
217	3637.956243
218	3616.00965
219	3594.816181
220	3578.792181
221	3555.850402
222	3534.023065
223	3510.715499
224	3491.576838
225	3470.635346
226	3449.178088
227	3431.097453
228	3412.849659
229	3392.784552
230	3373.099756
231	3353.090605
232	3334.060128
233	3312.785894
234	3292.15301
235	3272.025533
236	3252.312991
237	3234.298039
238	3217.22734
239	3198.766585
240	3182.155386
241	3165.443698
242	3147.493096
243	3130.579509
244	3112.686941
245	3095.6811
246	3076.962268
247	3064.194806
248	3046.922356
249	3030.004337
250	3014.719946
251	3003.829584
252	2989.293294
253	2972.780715
254	2956.561119
255	2940.53125
256	2925.777084
257	2911.979658
258	2896.918664
259	2880.398152
260	2866.993256
261	2851.883004
262	2838.178286
263	2823.9381
264	2809.645899
265	2797.110066
266	2785.418956
267	2772.989182
268	2758.571704
269	2743.453788
270	2731.63387
271	2717.312466
272	2704.749297
273	2691.687322
274	2679.972312
275	2666.838607
276	2654.374164
277	2642.035316
278	2629.445771
279	2616.3716
280	2603.054891
281	2590.653733
282	2577.335214
283	2566.394535
284	2553.966629
285	2541.50676
286	2530.008537
287	2520.981003
288	2509.328192
289	2497.653647
290	2485.819097
291	2473.166382
292	2464.520026
293	2451.414655
294	2439.825228
295	2429.725536
296	2419.23846
297	2408.775209
298	2397.1803
299	2386.354803
300	2376.262164
301	2365.200449
302	2355.210955
303	2344.536375
304	2333.989713
305	2322.186305
306	2309.546487
307	2298.703743
308	2288.167002
309	2278.183594
310	2268.330234
311	2259.179811
312	2248.297193
313	2238.544703
314	2228.281343
315	2217.84133
316	2208.380659
317	2199.816495
318	2189.605047
319	2181.352989
320	2172.057351
321	2163.675316
322	2154.592753
323	2145.887021
324	2140.014083
325	2131.503455
326	2123.740809
327	2117.761179
328	2109.144996
329	2101.696725
330	2093.547485
331	2085.686053
332	2076.401684
333	2069.031807
334	2061.541724
335	2054.955293
336	2046.296458
337	2037.813507
